Jan,1,2.7
Jan,2,2.8
Jan,3,0.7
Jan,4,1.8
Jan,5,1.2
Jan,6,-1.2
Jan,7,-1.9
Jan,8,2.3
Jan,9,-3.9
Jan,10,1.5
Jan,11,-0.2
Jan,12,-1.9
Jan,13,-1.7
Jan,14,-1.9
Jan,15,-1.4
Jan,16,0.4
Jan,17,0.8
Jan,18,-0.2
Jan,19,-1.6
Jan,20,-1.4
Jan,21,-0.3
Jan,22,-3.4
Jan,23,1.0
Jan,24,5.2
Jan,25,5.6
Jan,26,2.7
Jan,27,-1.0
Jan,28,1.8
Jan,29,-0.3
Jan,30,-1.8
Jan,31,2.4
Feb,1,1.8
Feb,2,1.3
Feb,3,-5.5
Feb,4,-4.4
Feb,5,-6.4
Feb,6,-3.4
Feb,7,-1.4
Feb,8,-1.7
Feb,9,0.9
Feb,10,-0.5
Feb,11,-0.8
Feb,12,0.2
Feb,13,0.6
Feb,14,2.0
Feb,15,1.8
Feb,16,0.2
Feb,17,-1.2
Feb,18,0.8
Feb,19,0.4
Feb,20,-1.5
Feb,21,-1.5
Feb,22,0.2
Feb,23,0.4
Feb,24,-2.2
Feb,25,-3.3
Feb,26,-3.6
Feb,27,-6.2
Feb,28,-9.1
Mar,1,-7.3
Mar,2,-2.9
Mar,3,-3.5
Mar,4,-0.1
Mar,5,-3.9
Mar,6,-2.9
Mar,7,-0.6
Mar,8,-0.7
Mar,9,0.7
Mar,10,-0.9
Mar,11,-2.3
Mar,12,1.6
Mar,13,2.9
Mar,14,4.5
Mar,15,0.0
Mar,16,-2.2
Mar,17,-0.6
Mar,18,1.5
Mar,19,5.7
Mar,20,7.7
Mar,21,7.2
Mar,22,8.0
Mar,23,2.0
Mar,24,6.8
Mar,25,10.0
Mar,26,5.7
Mar,27,2.5
Mar,28,3.9
Mar,29,3.3
Mar,30,3.8
Mar,31,5.3
Apr,1,7.1
Apr,2,5.5
Apr,3,4.1
Apr,4,4.7
Apr,5,5.3
Apr,6,9.6
Apr,7,5.9
Apr,8,7.0
Apr,9,4.4
Apr,10,8.4
Apr,11,9.8
Apr,12,12.6
Apr,13,13.4
Apr,14,16.9
